原文	訂正	個別評価	評価
中学校の最後年は一番難しいで、最大らしいです。	中学校の最後の年は一番難しいので、最大らしいです。	"4,4,3"	3.6666666666666665
仮に誰かが日本語で話しかけるとしたら、私は途切れる言葉しか答えられないと思います。	仮に誰かが日本語で話しかけるとしたら、私は途切れる言葉しか答えられないと思います。	"4,4,4"	4.0
朝から、サンクト大学へレクチャーを聞きに行く以外の予定がなかったけど、	朝から、サンフランシスコ大学へ授業を聞きに行く以外の予定がなかったけど、	"1,1,1"	1.0
でも、先生と話すとき、時々話せませんね～	でも、先生と話すときは時々話せませんね～	"2,3,3"	2.6666666666666665
私はベジタリアンです、だから野菜カレーでした。	私はベジタリアンです、だから野菜カレーでした。	"4,4,4"	4.0
「藤」がある日本人の名字は多いです。	「藤」のある日本人の名字は多いです。	"4,4,3"	3.6666666666666665
友達は私の日記を直させてしまってと思いました。	友達は私の日記を直してくれたと思いました。	"1,2,1"	1.3333333333333333
これは私の他の夢です。	これは私の他の夢です。	"4,4,4"	4.0
それに、朝お腹がすくときは、りんごが一つOKですよ。	それに、朝お腹がすいたときは、りんごが一つOKですよ。	"3,3,3"	3.0
最初は霧雨なんですけど、突然大雨になります！	最初は霧雨だったんですけど、突然大雨になりました！	"4,4,3"	3.6666666666666665
今朝朝ごはんでえびをたべました。	今朝朝ごはんでえびをたべました。	"4,4,4"	4.0
だから、いつかぺらぺらで話すように練習して頑張ろう！	だから、いつかぺらぺらで話すように練習して頑張ろう！	"4,4,3"	3.6666666666666665
後でサングリアを作りました。	後でウインドウズを作りました。	"1,1,1"	1.0
今日は日本語の会話テストがあった。	今日は日本語の会話テストがあった。	"4,4,4"	4.0
写真をとってなかったから　ちょっと残念。	写真を撮ってなかったからちょっと残念。	"4,4,4"	4.0
日本の食べものはぜんぜんおいしくないと思います。	日本の食べものはぜんぜんおいしくないと思います。	"4,4,4"	4.0
出かけて近所の商店街に行くと決めました。	出かけて近所の商店街に行くことにしました。	"3,4,3"	3.3333333333333335
人々は小さい頃から沢山勉強します。	人々は小さい頃から沢山勉強します。	"4,4,4"	4.0
それは言いでも違いの理由から嬉しいです。	それは言っても違いの理由から嬉しいです。	"4,4,3"	3.6666666666666665
とても楽しかった。	とても楽しかった。	"4,4,4"	4.0
皆さんは留学についてどう思いますか？	皆さんは留学についてどう思いますか？	"4,4,4"	4.0
プレゼント遭難	プレゼントスケジュール	"1,1,1"	1.0
お正月の時期になるとみんなは大忙しくなります。	お正月の時期になるとみんなは大忙しくなります。	"2,2,3"	2.3333333333333335
手紙	手紙	"2,3,3"	2.6666666666666665
あの人たちは、家族じゃなく、私たちに責任の持っている人でもないのに、いかに私たちのことを大切にしてくれるのか。	あの人たちは、家族じゃなく、私たちに責任の持っている人でもないのに、いかに私たちのことを大切にしてくれるのか。	"2,3,3"	2.6666666666666665
例えば、東方神起の「Purple Line」という歌では、「I really wanna touch myself」というかしがあります。	例えば、東方神起の「考えるかな？」という歌では、「Iほんとに「I実にorこんなかしがあります。	"1,1,1"	1.0
働いから寝ました。	働いてから寝ました。	"4,4,4"	4.0
マネ－ジャ－から「君はとでもいいと思う」っと言われた	マネ－ジャ－から「君はとてもいいと思う」と言われた	"3,3,4"	3.3333333333333335
オーストラリアに旅行していて、私の教会に訪ねました。	オーストラリアに旅行していて、私の教会を訪ねました。	"4,4,4"	4.0
獣医になるできなければ、私は生物学者になりたいです。	獣医になることがなければ、私は生物学者になりたいです。	"4,4,4"	4.0
私はこれからどすれば良いだら、明日は何処にいるんだそれぞれを考えてしております。	私はこれからどすれば良いから、明日は何処にいるんだそれぞれを考えております。	"2,1,1"	1.3333333333333333
それに原子力発電所の事故がありました。	それに原子力発電所で事故がありました。	"4,4,3"	3.6666666666666665
難しいなのに、弁護士になれば僕は大金持ちになるかもしれません。	難しいのに、弁護士になれば僕は大金持ちになるかもしれません。	"4,4,4"	4.0
昨日は父ちゃんのお誕生日、多いかぞくに来た、父ちゃんのいちばんともだちも。	昨日は父ちゃんのお誕生日、多いかぞくに来た、父ちゃんのいちばんのともだちも。	"3,2,3"	2.6666666666666665
魚の泳ぐ姿は綺麗に撮った、	魚の泳ぐ姿は綺麗に撮った、	"4,4,3"	3.6666666666666665
はじめ：	はじめ：	"2,3,3"	2.6666666666666665
私の未来は輝かしいに違いない。	私の未来はとても違いない。	"1,1,2"	1.3333333333333333
仕事の間に、掃除を足り皿を洗ったりした。	仕事の間に、掃除が足り皿を洗ったりした。	"1,2,2"	1.6666666666666667
テストだけです。	テストだけです。	"4,4,4"	4.0
誰かはあたし達にシーツをあげたですから、エベントをテントの下に見た。	誰かはあたし達にシーツをあげたですから、イベントをテントの下に見た。	"2,3,2"	2.3333333333333335
だから、貧乏も大学に入るようになるにちがありません。	だから、貧乏も大学に入るようにはなりません。	"1,1,2"	1.3333333333333333
１本のタバコにはたくさんの危ないケミカルが入りました。	１本のタバコにはたくさんの危ないケミカルが入りました。	"4,4,4"	4.0
初めて日記を書いたので、言葉は言葉の間の連接がわからない	初めて日記を書いたので、言葉は言葉の間のタマゴがわからない	"1,1,1"	1.0
日本人でも知らない日本語もあります。	日本人でも知らない日本語があります。	"4,4,3"	3.6666666666666665
そして、皆さんは将来有名な会社に入って、高い給料の仕事をしたいと思う。	そして、皆さんは将来有名な会社に入って、高い給料の仕事をしたいと思う。	"4,4,4"	4.0
生き物を殺すなんてひどいだけど、キモい感じがするので殺すしかないんです。	生き物を殺すなんてひどいけど、ヤッパリ感じがするので殺すしかないんです。	"1,1,2"	1.3333333333333333
じゃ、稼ぎがあったら、遊びに行くんよ～	じゃ、稼ぎがあったら、遊びに行くんよ～	"2,3,3"	2.6666666666666665
準備は十分じゃないと思ったんだ。	準備は十分じゃないと思ったんだ。	"4,4,4"	4.0
でも、大学なら自分うちの近くの大学に入らないかもしれません。	でも、大学なら自分の近くの大学に入らないかもしれません。	"3,2,3"	2.6666666666666665
こういう発想がある人はたぶんドーエムかもしれない。	こういう発想がある人はたぶんドーエムかもしれない。	"4,4,4"	4.0
いじめ、プライバシー、注意さんまんにゲームをする学校に問題の原因の一部は携帯だと思う。	いじめ、プライバシー、注意あまりにゲームをする学校の問題の一部は携帯だと思う。	"1,1,2"	1.3333333333333333
それに　年取っているから、記憶力が以前より悪いんです。	それに　年取っているから、記憶力が以前より悪いんです。	"2,3,2"	2.3333333333333335
だから、いつかぺらぺらで話すように練習して頑張ろう！	だから、いつかぺらぺらで話せるように練習して頑張ろう！	"4,4,4"	4.0
実は100個漢字なんか暗記したかったけど疲れていたから家に帰る時すぐ寝ます。	実は100個漢字なんか暗記したかったけど疲れていたから家に帰る時すぐ寝ます。	"4,4,4"	4.0
ふつう学生たちを教えた。	ふつう学生たちに教えた。	"4,4,4"	4.0
自分はどれだけ失敗だなって思っちゃったんです。	自分はどれだけ失敗だなって思っちゃったんです。	"4,4,3"	3.6666666666666665
そして、家に帰り部屋に入ったとたん、ゴキブリが飛び出して私を驚かせました。	そして、家に帰り部屋に入ったとたん、ゴキブリが飛び出して私を驚かせました。	"4,4,4"	4.0
だから、皆さんは先生の仕事をそれほどしたくないんだね。	だから、皆さんは先生の仕事をそれほどしたくないんだ。	"3,4,3"	3.3333333333333335
今日は私の弟の結婚の日。	今日は私の弟の結婚の日。	"4,4,4"	4.0
日本語に熟達するのはきわめて難しいと思います。	日本語を熟達するのはきわめて難しいと思います。	"4,4,4"	4.0
だから私は今全然凧をして遊びないです	だから私は今全然凧をしていないです	"3,2,3"	2.6666666666666665
そのコーヒは大丈夫でも、料金はばか。	そのコーヒは大丈夫だけど、料金はばか。	"3,4,3"	3.3333333333333335
大体よかったが、国語は標準より悪かったです。	大体よかったが、国語は標準より悪かったです。	"4,4,4"	4.0
例えば名詞と動詞、形容詞なとの連接。	例えば名詞と動詞、形容詞などのタマゴ。	"1,1,1"	1.0
とても高かった！	とても高かった！	"4,4,3"	3.6666666666666665
エドは弟の命を救うために右腕をそなえて代わりにアルの魂を助かってよろいに付けました。	エドは弟の命を救うために右腕をそなえて代わりにアルの魂を助けてよろいに付けました。	"4,4,4"	4.0
兎の年に、まず日本語がぺらぺら話せて自由に自分の気持ちを表せるように。	兎の年に、まず日本語がぺらぺら話せて自由に自分の気持ちを表せるように。	"4,4,4"	4.0
私は日本語の歌が苦手だから、今度たくさん日本の歌を習おとおもってる。	私は日本語の歌が苦手だから、今度たくさん日本の歌を載せようとおもってる。	"1,1,2"	1.3333333333333333
それから、学生はにかかる負担を少なくします。	それから、学生は負担を少なくします。	"1,1,2"	1.3333333333333333
誰かはあたし達にシーツをあげたですから、エベントをテントの下に見た。	誰かがあたし達にシーツをくれたので、イベントをテントの下に見た。	"2,2,2"	2.0
今の文章は短いけど、かなり時間をかける。	今の文章は短いけど、かなり時間をかける。	"4,4,4"	4.0
だから入学試験をもう少し安いようになりたいです。	だから入学試験はもう少し安いようになりたいです。	"4,4,4"	4.0
私は今年論文を書いているから、調査がとても必要である。	私は今年論文を書いているから、調査がとても必要である。	"4,4,4"	4.0
じゃ、高校生時代、数学の勉強がひどいだと思いました。	じゃ、高校生時代、数学の勉強はひどいと思いました。	"4,4,4"	4.0
人生はどこからいつでも、再スタートできる。	人生はどこからいつでも、再スタートできる。	"4,4,4"	4.0
その後は焼いた魚、名前はわからないけど、これもおいしかった。	その後は焼いた魚、名前はわからなかったけど、これもおいしかった。	"3,3,3"	3.0
先週は二回とも英語授業をしませんでした。	先週は二回とも英語の授業をしませんでした。	"4,4,3"	3.6666666666666665
間違いを許してください。	間違いを許してください。	"4,4,4"	4.0
もう三年になった、この時間とは長くではなかった。	もう三年になった、この時間とは長くなかった。	"3,4,3"	3.3333333333333335
ある日おばあさんは2つ凧を買いました	ある日おばあさんが2つ凧を買いました	"3,3,3"	3.0
ま、最初も言った、短所と長所がない人生には完全とは言えないと思う。	ま、最初も言った、短所と長所がない人生には完全とは言えないと思う。	"4,4,4"	4.0
今の状態は絶望的な様子ですが、そのことに観念しなくてはなりません。	今の状態は絶望的な様子ですが、そのことを観念しなくてはなりません。	"4,4,4"	4.0
ひらがんあ、カタカナをよむ＃１	ひら、カタカナをよむ＃１	"1,1,1"	1.0
魚がいっぱいです、海豚とクマノミ超かわいい、	魚がいっぱいです、海豚とクマノミが超かわいい、	"4,3,3"	3.3333333333333335
でも今この条件で何かできることに感謝しています。	でも今この条件で何かできることに感謝しています。	"4,4,4"	4.0
それは一番いい方法だと思います。	それが一番いい方法だと思います。	"3,4,4"	3.6666666666666665
私は最近「上を向いて歩こう」という昔の大ヒットソングに夢中しています。	私は最近「上を向いて歩こう」という昔の大ヒットソングに夢中しています。	"2,2,2"	2.0
でも私の日本語は下手ですから、	でも私の日本語は下手ですから、	"2,3,3"	2.6666666666666665
みんな、決して運転手さんを怒らせな。	みんな、決して運転手さんを怒らせるな。	"4,4,4"	4.0
だから入学試験をもう少し安いようになりたいです。	だから入学試験をもう少し安いようになりたいです。	"2,2,3"	2.3333333333333335
だけど、特別な日に何かをあげたら、嬉しいですから好きだとよかたです。	だけど、特別な日に何かをあげられたら、嬉しいですから好きだと思います。	"1,1,2"	1.3333333333333333
その年は日本語にいっぱい勉強してた。	その年は日本語にいっぱい勉強してた。	"2,2,2"	2.0
でも、フランス語の発音はとっても美しいですし、フランスの文化をもっと知りたいと思っていますが、やっばり私はまず日本語を身に付けたらそれを勉強するのを考えればいいでしょう。	でも、フランス語の発音はとっても美しいですし、フランスの文化をもっと知りたいと思っていますが、やっぱり私はまず日本語を身に付けたらそれを勉強するのを考えればいいでしょう。	"4,4,3"	3.6666666666666665
そのとき、ある人、わたしに話しくれた、このひとは友たちになった。	そのとき、ある人、わたしに話しくれた、このひとは友だちになった。	"2,2,2"	2.0
正しいのは、毎日約3－５杯の生姜紅茶を飲んで、昼ご飯と晩ご飯も食べ過ぎほうがいいですよ。	正しいのは、毎日約3－５杯の生姜紅茶を飲んで、昼ご飯と晩ご飯も食べ過ぎたほうがいいですよ。	"4,4,4"	4.0
たった1分47秒のニュースは一時間もがかかりました。	たった1分47秒のニュースに一時間もかかりました。	"4,4,4"	4.0
天下りなどについて読んでいるのが面白いけど、かなり難しいね！	天下りなどについて読んでいるのが面白いけど、かなり難しいね！	"4,4,4"	4.0
とうきょうHANDSといろいろの店にいきました。	とうきょうの親戚といろいろな店にいきました。	"1,1,1"	1.0
お母さんから遠いまでぜんぜんあるきませんでした。	お母さんから遠くまでぜんぜんあるきませんでした。	"4,4,4"	4.0
ゆうべは、うちはきたないままでしたので、アレルギーのせいでよく眠れませんでした。	ゆうべは、うちはきたないままでしたので、アレルギーのせいでよく眠れませんでした。	"4,4,4"	4.0
どうぞよろしくお願いします	どうぞよろしくお願いします	"2,3,3"	2.6666666666666665
昨日私の新しい実習（internship）も始まりました。	昨日私の新しい実習（多くの実習）も始まりました。	"1,1,2"	1.3333333333333333
結局、帰ったばかりです。	結局、帰ったばかりです。	"4,4,4"	4.0
日本の人口の中で、５０％ぐらいの男性は吸うけど、１５％ぐらいの女性も吸います。	日本の人口の中で、５０％ぐらいの男性が吸うけど、１５％ぐらいの女性も吸います。	"4,4,4"	4.0
都心における商店街に行くつもりだったけど、電車で３０分もかかるから今夜の新年会に間に合わないかもしれないと思います。	都心にある商店街に行くつもりだったけど、電車で３０分もかかるから今夜の新年会には間に合わないかもしれないと思います。	"4,4,3"	3.6666666666666665
ありがとう。	ありがとう。	"4,4,4"	4.0
私たちは大体お客様と喋る場合が少ないですが、友達になるお客様もいます	私たちは大体お客様と喋る機会は少ないですが、友達になるお客様もいます	"3,3,3"	3.0
実は、日本語の勉強絵はあまり楽しくないと思います。	実は、日本語の勉強はあまり楽しくないと思います。	"4,4,3"	3.6666666666666665
その飼い主は犬を見捨てたとき、悲しくなかったか。	その飼い主は犬を見捨てたとき、悲しくなかったですか。	"4,4,3"	3.6666666666666665
もともと冬休みのとき、アルバイトをしようと思ってるけど、二月十八日まで１０４からメールをもらって、中学と高校の数学塾へ面接しに行った。	もともと冬休みのとき、アルバイトをしようと思ってるけど、二月十八日まで１０４からメールをもらって、中学と高校の数学塾へ面接しに行った。	"4,4,4"	4.0
今朝、日本のYahooで”生姜紅茶ダイエット”を探して、ああ～”なるほど”の感じがあります。	今朝、日本のYahooで”生姜紅茶ダイエット”を探して、ああ～”という感じがします。	"1,1,2"	1.3333333333333333
「鋼の錬金術師」というアニメを見たことがありますか。	「鋼の錬金術師」というアニメを見たことがありますか。	"4,4,4"	4.0
それにしても、ゴキブリが死んでほしくないかもしれないから、いつも止まらずに部屋にくるりと走っていました。	それにしても、ゴキブリが死んでほしくないかもしれないから、いつも止まらずに部屋に参らと走っていました。	"1,1,2"	1.3333333333333333
アゲハさんはよくいろいろなクラスメートと合流して、私を誘っています。	DIMITRIさんはよくいろいろなクラスメートと合流して、私を誘ってくれます。	"1,1,1"	1.0
勉強より遊ぶことが面白いですね。	勉強より遊ぶことは面白いですね。	"3,4,4"	3.6666666666666665
前には、この最近の興味がありませんでしたが、今興味が持つようになりました。	前は、この最近の興味がありませんでしたが、今興味が持つようになりました。	"3,3,3"	3.0
もし将来は、先生になったら、自分の能力で真面目な学生の習いを手伝うことができて、この社会に少し役に立つために一生懸命頑張って、まあいいだろう。	もし将来、先生になったら、自分の能力で真面目な学生の習いを手伝うことができて、この社会に少し役に立つために一生懸命頑張って、まあいいだろう。	"4,4,4"	4.0
ペンニはパークに探検したいですけど、少しこわいです。	ペンニはパークを探検したいですけど、少しこわかったです。	"4,4,3"	3.6666666666666665
フランスでは、日本日本の教育制度といえば極めて厳しいマイナスイメージがあった。	フランスでは、日本日本の教育制度といえば極めて厳しいマイナスイメージがあった。	"2,2,2"	2.0
二日間休みがあっても宿題はいっぱい溜まってて休む暇もない。	二日間休みがあっても宿題はいっぱい溜まって休む暇もない。	"3,4,4"	3.6666666666666665
きっと大丈夫です、きっとよくなります、って自分に言ったら、再スタートし始まったんでしょうね。	きっと大丈夫です、きっとよくなります、って自分に言ったら、再スタートし始めたんでしょうね。	"4,4,4"	4.0
１年前に日本語を勉強し始めた。	１年前から日本語を勉強し始めた。	"3,3,2"	2.6666666666666665
ここでみなの添削することが必要です＾＾；	ここでみなの添削することが必要です＾＾；	"2,2,3"	2.3333333333333335
二日間休みがあっても宿題はいっぱい溜まってて休む暇もない。	二日間休みがあっても宿題はいっぱい溜まってて休む暇もない。	"4,4,4"	4.0
今休日、俺はよく幸せです。	今の休日、俺はよく幸せです。	"4,4,3"	3.6666666666666665
その中に、多いくて安くて色々な本を展覧します。	その中に、多くて安くて色々な本を展覧します。	"4,4,4"	4.0
私たちは今日もたいつもの曲がり角のコーヒーショップに集まる。	私たちは今日もたいつもの曲がり角のコーヒーショップに集まる。	"2,2,3"	2.3333333333333335
日本語を勉強してるので、日本語で日記を書いて見ようと思っていました。	日本語を勉強してるので、日本語で日記を書いてみようと思いました。	"4,4,4"	4.0
日本とオーストラリアの教育制度	日本とオーストラリアの教育制度	"3,3,3"	3.0
成績が間に合いたいのは難いし、日本語の水平また大変しっまたし、私はがかんばって積み重ねるできるだけね。	成績が間に合いたいのは難しいし、日本語の水平また大変しまたし、私はがかんばって積み重ねるできるだけね。	"1,2,1"	1.3333333333333333
その中に中国語授業の先生の講評がある。	その中に中国語授業の先生の講評があります。	"4,4,3"	3.6666666666666665
時に爽やかな言葉は一概に正しいと言えないが、大切なのは自分も周りの人も励ますことができて、一人ずつ、自信を持ち返すのことだと思います。	時に爽やかな言葉は一概に正しいと言えないが、大切なのは自分も周りの人も励ますことができて、一人ずつ、自信を持ち返すのことだと思います。	"2,3,3"	2.6666666666666665
そんなに宿題が多いのは無理で、休みてぇ～」と考えるけれど、今、学校より休日が嫌いです。	そんなに宿題が多いのは無理で、休みてぇ～」と考えるけれど、今、学校より休日が嫌いです。	"3,3,3"	3.0
余計な解釈はとりあえず外して、入れたばかりのお茶がスタンドの明りの照らしで、格別に緑です。	余計な解釈はとりあえず外して、入れたばかりのお茶がスタンドの明るい照らしで、特に緑です。	"4,4,4"	4.0
たとえ辛い時も、信じていれば夢は叶うもの♪♡♥	たとえ辛い時も、信じていれば夢は叶うもの♪♡♥	"4,3,3"	3.3333333333333335
若い女の日本人と話し合ったら、日本で英語を話す教会に通うと言いました。	若い女の日本人と話し合ったら、日本で英語を話す教会に通うと言いました。	"4,4,3"	3.6666666666666665
今日はあそんで、うんどうして、音楽を聞いていた	今日はあそんで、うんどうして、音楽を聞いた	"3,3,3"	3.0
なので、私はLang-8の読み手に同じ挑戦を渡します。	なので、私はLang-8の読み手に同じ挑戦を渡します。	"4,4,4"	4.0
私はその犬を見るほど悲しかったです。	私はその犬を見るほど悲しかったです。	"4,4,4"	4.0
そうゆう話は誰にも相談しらなっかた。	そうゆう話は誰にも相談しなかった。	"4,4,4"	4.0
入学のとき、誰にも知らない、学校のことはすべて新しいものだった。	入学のとき、誰にも知らない、学校のことはすべて新しいものだった。	"3,4,4"	3.6666666666666665
自分は長所がないのようにして、そうしたら、自分の存在を否定したかもしれないが、自身を否定するこそ自分はもっと立派になるのではないだろうか。	自分は長所がないようにして、そうしたら、自分の存在を否定したかもしれないが、自身を否定することこそ自分はもっと立派になるのではないだろうか。	"4,4,4"	4.0
物語によると、フン王様によって作られたチュンケーキは地球の象徴です。	物語によると、フン王様によって作られたチュンケーキは地球の象徴です。	"4,4,4"	4.0
正直に、ただ自分を軽く騙すことしかないんだ。	正直に、ただ自分を軽く騙すことしかないんだ。	"3,4,4"	3.6666666666666665
たくさん飲み物をこぼれました。	たくさん飲み物をこぼれました。	"2,2,3"	2.3333333333333335
テストの内容が偽装、汚職、天下りについて。	テストについての内容は偽装、汚職、汚職について。	"1,1,1"	1.0
対して、メルボルン大学でニック・クロフツといわれる先輩の研究者は新聞に「二つの害に酒が正」という記事を書いた（３）。	対して、メルボルン大学でニック・クロフツといわれる先輩の研究者は新聞に「二つの害に酒が正」という記事を書いた（３）。	"3,4,4"	3.6666666666666665
月曜日に運転のコースに入ろうと持っています。	月曜日に運転のコースに入ろうと持っています。	"4,4,4"	4.0
論文を書く時いろいろな見方から考えたいから。	論文を書く時いろいろな見方から考えたいからです。	"4,4,3"	3.6666666666666665
その所為で少しづづ英語がちょっと分かるなくなるらしいです。	その所為で少しずつ英語がちょっと分かるなくなるらしいです。	"3,4,3"	3.3333333333333335
しかし、休んだら、レポートが終わらないかもしれません。	しかし、休んだら、レポートが終わらないかもしれません。	"4,4,4"	4.0
お母さんから遠いまでぜんぜんあるきませんでした。	お母さんから遠いところまでぜんぜんありませんでした。	"1,1,2"	1.3333333333333333
今日は早く眠たいです。	今日は早く寝たいです。	"4,4,4"	4.0
実は日本語の勉強についたことを書くが大好きなんだ！！	実は日本語の勉強についたことを書くが大好きなんだ！！	"2,2,1"	1.6666666666666667
きっともっともっとがんばれるです	きっともっともっと散歩をしたいです	"1,1,2"	1.3333333333333333
でも、いろいろな話ができて本とに嬉しかった。	でも、いろいろな話ができて本当に嬉しかった。	"4,4,4"	4.0
じゃ、高校生時代、数学の勉強がひどいだと思いました。	じゃ、高校生時代、数学の勉強がひどいと思いました。	"4,4,4"	4.0
昼ごはんのときは作る時間がないから食べたいだたら朝ごはんで食べなければなれないです。	昼ごはんのときは作る時間がないから食べたかったら朝ごはんで食べなければなれないです。	"3,2,2"	2.3333333333333335
今朝に日本語歴史試験から勉強した。	今朝に日本語歴史試験から勉強した。	"4,4,4"	4.0
今から貯金することにしました。	今から貯金することにしました。	"4,4,4"	4.0
全体で十五人ぐらい東京へほしがりました。	全体で十五人ぐらいで東京へほしがりました。	"3,4,3"	3.3333333333333335
私たちは英語を専攻する学生ではなくて、週に二回だけ英語授業があります。	私たちは英語を専攻する学生ではなくて、週に二回だけ英語の授業があります。	"4,4,3"	3.6666666666666665
ほうこう / Directions	iokokokokokoko)o	"0,0,1"	0
ふたりが口げんかをするのを見ると、まるで母と私が喧嘩するのをみているような感じだ。	ふたりが口けんかをするのを見ると、まるで母と私が喧嘩するような感じだ。	"1,2,2"	1.6666666666666667
今自習しているこのままでは、読解とか聴解とか上達するに違いないけれど、話す能力が降下しつつあると思います。	今自習しているこのままでは、読解とか聴解とか上達するに違いないけれど、話す能力が降下しつつあると思います。	"4,4,4"	4.0
でも池袋がやっぱり好きです。	でも池袋はやっぱり好きです。	"3,4,4"	3.6666666666666665
その後、いる生徒がマイクに向って話して答えた。	その後、ある生徒がマイクに向って話して答えた。	"4,4,4"	4.0
今日、楽しかった	今日、楽しかった	"2,3,3"	2.6666666666666665
日本語に熟達するのはきわめて難しいと思います。	日本語をさらすするのはとても難しいと思います。	"1,1,2"	1.3333333333333333
ほうこう / Directions	不慣れなプロジェクト	"0,0,1"	0
始めてはDMを封筒に封入して、それが印刷品だから、ホッチキスでしなければならない。	始めてはDMを封筒に変色して、それが印刷品だから、真ん前でしなければならない。	"1,1,1"	1.0
大学で2ねんに日本語をべんきょうしています。	大学で2ねんに日本語をべんきょうしています。	"4,4,4"	4.0
本とにびっくりした。	本当にびっくりした。	"4,4,4"	4.0
後で、N４級を受けに行った。	後で、N４級を受けに行った。	"4,4,4"	4.0
じゃ、稼ぎがあったら、遊びに行くんよ～	じゃ、ハンバーグがあったら、遊びに行くよ～	"1,1,1"	1.0
理由は人間関係が面倒くさいです。	理由は人間関係が面倒くさいからです。	"4,4,4"	4.0
でも、今日は七月三十一日で、夏休みは三分の二もたったシンボルなんだが、なにをしに八月の見本として自分の生活を充実しないわけにはいかないだろう。	でも、今日は七月三十一日で、夏休みは三分の二もたったシンボルなんだが、なにをしに八月の見本として自分の生活を充実しないわけにはいかないだろう。	"4,4,4"	4.0
初詣、ラーメン、屋台、お好み焼き、牛丼、ファミレス、全部日本本場そのもの体験したよ！	初詣、ラーメン、屋台、お好み焼き、牛丼、ファミレス、全部日本本場の体験したよ！	"4,4,3"	3.6666666666666665
驚いたことに、シェアハウスの僕の住んだ所には電気製品がたくさんある。	驚いたことに、シェアハウスに僕の住んだ所には電気製品がたくさんある。	"2,2,2"	2.0
将来、私は日本語先生になりたいてすのに。	将来、私は日本語の先生になりたいですのに。	"2,2,2"	2.0
大雨があったので、新しい傘を買わなくちゃいけませんでした。	大雨が降ったので、新しい傘を買わなくちゃいけませんでした。	"4,4,4"	4.0
１２時半ごろ着くところの時父は僕に電話をかけて、家から駅までの距離が遠いので、送ってくれた。	１２時半ごろ着いた時、父は僕に電話をかけて、家から駅までの距離が遠いので、送ってくれた。	"4,4,4"	4.0
朝８時に授業が始まりました。	朝８時に授業が始まりました。	"4,4,4"	4.0
田舎へ帰る	田舎へ帰る	"2,3,3"	2.6666666666666665
みょうじがない人はどれでものを選ばせていただきました。	新芽がない人はどれでものを選ばせていただきました。	"1,1,1"	1.0
そして、日本語の早口言葉のを言った。	そして、日本語の早口言葉を言った。	"4,4,4"	4.0
学生たちも大学入試と心配し始めます。	学生たちも大学入試を心配し始めます。	"4,4,4"	4.0
実は神の恵みを感謝するはずねえ！	実は神の恵みに感謝するはず！	"1,2,1"	1.3333333333333333
お互いに思いやり、譲り合わねばならないと思います。	お互いに思いやり、譲り合わねばならないと思います。	"4,4,4"	4.0
何をしましょう？	何をしましょう？	"4,4,4"	4.0
大事なことと言えば物質的なこととは限らない。	大事なことを言えば物質的なこととは限らない。	"4,4,4"	4.0
今度に大阪に旅行行く事があってとてもいいです。	今度に大阪に旅行行く事があってとてもいいです。	"3,3,4"	3.3333333333333335
ピンクドレスきれば、およがれります。	ピンクドレスがきれば、おねがいします。	"4,3,3"	3.3333333333333335
給料がいいし、マネ－ジャ－も親切な人みたいです	給料がいいし、マネ－ジャ－も親切な人みたいです	"2,3,3"	2.6666666666666665
先生の2010年もとても良い一年になることを祈っています。	先生の2010年もとても良い一年になることを祈っています。	"4,4,4"	4.0
そう言いば、中国人のわたしも、全部の中国語は分かりません。	そう言えば、中国人のわたしも、全部の中国語は分かりません。	"4,4,4"	4.0
寝不足はいやなことです。	寝不足はいやなことです。	"4,4,4"	4.0
動物の名前オランダ語でとか。	動物の名前オランダ語でとか。	"4,3,4"	3.6666666666666665
今週に英語の話すときは間違えは多い。	今週に英語の話すときは間違えが多い。	"3,4,4"	3.6666666666666665
最初は霧雨なんですけど、突然大雨になります！	最初は霧雨なんですけど、突然大雨になります！	"4,4,4"	4.0
それにしても、ゴキブリが死んでほしくないかもしれないから、いつも止まらずに部屋にくるりと走っていました。	それにしても、ゴキブリが死んでほしくないかもしれないから、いつも止まらずに部屋にたり走っていました。	"1,1,1"	1.0
祈りつづければ	祈りつづければ	"2,3,3"	2.6666666666666665
今日をNew-startにして、	今日をNew-startにして、	"3,3,3"	3.0
そして、朝の時、友達とストリーミングをしました。	そして、朝、友達とらしい料理をしました。	"1,1,2"	1.3333333333333333
カフェに勤めますので、いろいろなタイプのひとに会えます	カフェに勤めていますので、いろいろなタイプのひとに会えます	"3,3,3"	3.0
初めてヨットに乗って、興奮しました。	初めてヨットに乗って、興奮していました。	"4,4,3"	3.6666666666666665
しかし、野村さん谷口さんも日本では何回も転職するのはイメージが悪いと言われました。	しかし、野村さん谷口さんも日本では何回も転職するのはイメージが悪いと言われました。	"3,3,4"	3.3333333333333335
携帯に変わらされる社会は過去に変化してくた。	携帯に変えられる社会は過去に変化してくた。	"3,2,3"	2.6666666666666665
外国人に中国語を教えたいんです。	外国人に中国語を教えたいんです。	"4,4,4"	4.0
牧師は世界の貧しさについての挑戦を言いました。	牧師は世界の貧しさについての挑戦をしました。	"1,1,1"	1.0
仕事を持って、会社ですから、寝ることができません。	仕事を持って、会社ですから、寝ることができません。	"4,4,4"	4.0
