原文	訂正	個別評価	評価
男のヤンキーはアルバイトをする。	男のヤンキーはアルバイトをする。	"4,4,4"	4.0
中国の皆はもう実家に帰りましたか。	中国の皆はもう実家に帰りましたか。	"4,4,4"	4.0
馬の　名前わ　Ｂｉｓｓｅｎ、　Ｐｕｎｔｏ、　Ｍａｙ　と　Ｃａｐｐｉ　です。	馬の名前はaswell、いいかえれ、鹿茸といいかえれです。	"1,1,1"	1.0
パン（お金、物質）とラブ（愛情）はどっちを選ぶのか。	パン（お金、物質）とラブ（愛情）はどっちを選ぶのか。	"2,4,3"	3.0
この時期に交通状況がひどく厳しくて、飛行機と汽車と長距離バスの切符を買うのは非常に難しいです。	この時期の交通状況がひどく厳しくて、飛行機と汽車と長距離バスの切符を買うのは非常に難しいです。	"4,4,4"	4.0
彼の作品は世界中に伝播されたようだ。	彼の作品は世界中に伝播されたようだ。	"4,4,4"	4.0
父も母も祖母も私です。	父も母も祖母も私です。	"4,4,3"	3.6666666666666665
機動性を求めてる人に対して、やっばりバイクを持ってないなら～～無理です。	機動性を求めてる人に対して、やっばりバイクを持ってないなら～～無理です。	"2,4,2"	2.6666666666666665
毎晩少しギターを練習している。	毎晩少しずつギターを練習している。	"4,4,4"	4.0
まずは自分の国の伝統文化を大切にしてみたらいいのではないでしょうか？	まずは自分の国の伝統文化を大切にしてみたらいいのではないでしょうか？	"4,4,4"	4.0
クウィンズラーンド州の中に観光しながら、とてもアトラクション公園に入るべきです。	ランカスター州の中を観光しながら、とてもアトラクション公園に入るべきです。	"1,1,1"	1.0
新婚夫婦はほとんど見知らない人である遠い親戚を招待しなければなりません。	新婚夫婦はほとんど見知らない人で、遠い親戚を招待しなければなりません。	"1,4,1"	2.0
偶にペットと遊びて、餌をやりました。	たまにペットと遊んで、餌をやりました。	"4,4,4"	4.0
高校から卒業しないかもだからね。	高校を卒業しないかもだからね。	"4,4,3"	3.6666666666666665
何もをします。	何もします。	"3,3,3"	3.0
LeMondeDiplomatiqueも読みます。	LeMondeDiplomatiqueも読みます。	"4,4,4"	4.0
社会人とヤンキーは違いきたいを考えて、両方はしてもいいと思う。	社会人とヤンキーは違うきたいを考えて、両方はしてもいいと思う。	"4,2,1"	2.3333333333333335
私は猫を好きじゃないでも、犬大好きです。	私は猫が好きじゃないけど、犬が大好きです。	"3,4,3"	3.3333333333333335
たとえ　苦しくて転んでもがんばりました。	苦しくて転んでもがんばりました。	"4,4,3"	3.6666666666666665
神様だけが知っている、秘密～～～～♫　あはははっははははははっははははｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋｋ	神様だけが知っている、秘密～～～～♫ひろうははははははっははははｋｋ	"0,0,0"	0
「先生、私は牡丹のことがずっと好きです、猛威にもめげない花で、武則天が厳冬の雪のある日に、号令一下、花々は皆咲き出し、牡丹だけは依然として枝のままで立ち誇っていて本性を忘れることがなかったのです。	「先生、私は牡丹のことがずっと好きです、アップインザエアにもめげない花で、武則天が厳冬の雪のある日に、号令一下、花々は皆が陰鬱し、牡丹だけは依然として枝のままで立ち誇っていて本性を忘れることがなかったのです。	"1,1,1"	1.0
そして、当地の親戚が飼ってきた家鴨と	そして、当地の親戚が飼ってくれた家鴨と	"2,3,3"	2.6666666666666665
昨日、２０１０年の花の展覧会へいきました。	昨日、２０１０年の花の展覧会へいきました。	"4,4,4"	4.0
女一人で大変かもしれない。	女一人では大変かもしれない。	"4,4,4"	4.0
見てしまったばかりの時、涙は我慢できなかった。	見てしまったばかりの時、涙は我慢できなくなった。	"2,4,3"	3.0
先ほど以下のバグ・リポートをlang-8へ送りました。	先ほど以下のバッグ・リポートをlang-8へ送りました。	"2,3,1"	2.0
それから、「実は、ドイツ人の男性もセクシーだよ」と言った。	それから、「実は、ドイツ人の男性もセクシーだよ」と言いました。	"4,4,4"	4.0
したけど、夢を叶えたいという信念を抱き続ければ、頑張り続け	しかし、夢を叶えたいという信念を抱き続ければ、頑張り続け	"3,2,2"	2.3333333333333335
是非ご覧下さい。	是非ご覧下さい。	"4,4,4"	4.0
西湖の岸にはいろいろな樹がありました。	西湖の岸にはいろいろな樹がありました。	"4,4,4"	4.0
いつかLang-8で中国語の日記を書けるかもしれません。	いつかLang-8で中国語の日記を書くかもしれません。	"4,4,4"	4.0
それで、副反応にメチル水銀は生成した。	それで、副反応にメチル水銀は生まれた。	"4,4,3"	3.6666666666666665
いろいろな気持ちを持っています！	いろいろな気持ちがあります！	"4,4,4"	4.0
日本人にとって何が面白い？withJapanesewhatisfunny?	日本人にとって何が面白い？??"Japanesewhatisfunny?	"0,0,0"	0
それから、日本語は毎日に勉強します。	それから、日本語を毎日勉強します。	"4,4,4"	4.0
２級ですればよかったのにって思うけど・・・	２級になればよかったのにって思うけど・・・	"1,3,2"	2.0
猫モップ	猫を翔る	"1,1,1"	1.0
場合によっては、胃が少し痛いときもあります。	場合によっては、胃が少し痛いこともあります。	"4,4,4"	4.0
最近、午後は雷雨が降ります。	最近、午後は雷雨が降っています。	"4,4,4"	4.0
誰もに言わないでください。	誰も言わないでください。	"2,4,2"	2.6666666666666665
店員Ａ：地下1階でございます。	店員Ａ：地下1階でございます。	"4,4,4"	4.0
たくやきのパーチイー	たくやきのパーティー	"3,3,3"	3.0
そして、最近の作業量がより多くなりました。	そして、最近の作業量がより多くなりました。	"4,4,4"	4.0
私の日。	私の日。	"4,4,4"	4.0
(演じた)ドラマ、映画：サイゴン・ラブ・ストリー、ラブ・ストリー	(演じた)ドラマ、映画：いいかえれ、外苑	"1,1,1"	1.0
数秒後、ラベンダーは見えるような速度を立て行きます。	数秒後、ラベンダーは見えるような速度を立て行きます。	"4,4,3"	3.6666666666666665
中国料理と日本料理とどっちのほうが好きですか？	中国料理と日本料理とどちらのほうが好きですか？	"4,4,4"	4.0
それにしても、クリスマスの日に学校は歌コンクールを行ったことになりました。	それにしても、クリスマスの日に学校は歌コンクールに行くことになりました。	"4,4,3"	3.6666666666666665
（写真）日本語四級検定合格しました！！	（写真）日本語四級検定に合格しました！！	"4,4,4"	4.0
（写真2）	（写真2）	"4,4,4"	4.0
仁くん、愛してる。	仁くんを愛してる。	"4,4,4"	4.0
ある日、学生は男に横なたを見た。	ある日、学生は男に横なたを見せた。	"4,4,0"	4.0
明日大学の後に「シェルロク・ホールムス」をみます。	明日大学の後に「BABEL」をみます。	"1,1,1"	1.0
今、私のインターネットのスピードはすごく遅いです。	今、私のインターネットのスピードはすごく遅くなりました。	"2,4,3"	3.0
お客さんは皆入れるために大きいレストランとダンスホールを予約しておきました。	お客さんは皆入れるために大きいレストランとダンスホールを予約しておきました。	"2,4,3"	3.0
そのバーガーはおいしかった。	そのバーガーはおいしかった。	"4,4,4"	4.0
それにしても、クリスマスの日に学校は歌コンクールを行ったことになりました。	それにしても、クリスマスの日に学校で歌コンクールに行くことになりました。	"4,4,4"	4.0
じゃ、僕は未だに音楽のビデオを作って。	じゃ、僕は未だに音楽のビデオを作って。	"4,3,4"	3.6666666666666665
でも、元来大学の勉強は楽器を練習することより大切ね。	でも、元来大学の勉強は楽器を練習することより大切ね。	"4,4,4"	4.0
私がハイスクールを終えるべき時頃です。	私がハイスクールを終えるべき時頃です。	"4,4,2"	3.3333333333333335
「丽江」に住んた人々の生活のリズムは遅いです	「丽江」に住んでいる人々の生活のリズムは遅いです	"3,3,4"	3.3333333333333335
有名な人の自己紹介（２）	有名人の自己紹介（２）	"3,3,4"	3.3333333333333335
チャンーーート聴きました。	チャンーーート聴きました。	"4,3,1"	2.6666666666666665
メンドクサイ～～	メンドクサ～～	"3,3,3"	3.0
来年、韓国に遊びに行く予定が	来年、韓国に遊びに行く予定が	"3,2,3"	2.6666666666666665
経験したことのない人はたぶん分からないと思います。	経験したことのない人はたぶん分からないと思います。	"4,4,4"	4.0
日本の教育制度が批判的にけんさをせされて、社会のえいきょうは日本人がさせられる。	日本の教育制度が批判的に昼夜をせられて、社会のえいきょうは日本人にさせられる。	"1,1,1"	1.0
わたしはほとんど旅行しないから、よくわからないよね。。。。	わたしはほとんど旅行してないから、よくわからないよね。。。。	"4,4,4"	4.0
本当に外れた部分はないのですけど、やはり中国語らしくないとしたら、読みづらくなるし、理解することも難しくなるなあと思い浮かびました。	本当に外れた部分はないのですけど、やはり中国語らしくないとしたら、読みづらくなるし、理解することも難しくなるなあと思い浮かびました。	"4,4,3"	3.6666666666666665
チャンーーート聴きました。	たくさん聴きました。	"1,2,1"	1.3333333333333333
くすぐりました！	つかれました！	"1,1,1"	1.0
お気に入りスウェーデン人のブロガーがつい最近の日本のへ旅のことからビデオを作って、伴う歌を好きになっちゃいました＞ｗ＜歌詞がいつもはっきり聞き取りないけど、さまざまな聞こえた部分をグーグルしてもなにも見つかれなかったんです。	お気に入りスウェーデン人のブロガーがつい最近の日本のへ旅のことからビデオを作って、伴う歌を好きになっちゃいました＞ｗ＜歌詞がいつもはっきり聞き取りないけど、さまざまな聞こえた部分をグーグルしてもなにも見つからなかったんです。	"2,4,3"	3.0
他の言語の見付けれるけど日本語のとっくに難しい！	他の言語の力だけど日本語のほうがずっと難しい！	"2,1,1"	1.3333333333333333
でも、ある時、成功するために、私も一度決めたら他人のアドバイスを聞かない頑固な人だけでなく、気もよくいらいらする人です。	でも、ある時、成功するために、私も一度決めたら他人のアドバイスを聞かない頑固な人だけでなく、気もよくいらいらする人です。	"4,4,1"	3.0
・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・	・・・・・・・・・	"0,0,0"	0
初めて立った時に、赤ちゃんは転ばないようにがんばりました。	初めて立った時（に）、赤ちゃんは転ばないようにがんばりました。	"3,4,1"	2.6666666666666665
バドミントン	バドミントン	"3,4,4"	3.6666666666666665
まず、言っておきたいのはMikkomさん、コメントしれくれてありがとうございます。	まず、言っておきたいのはMikkomさん、コメントすれくれてありがとうございます。	"2,2,1"	1.6666666666666667
その時のことがなければ、今の私がキやノン杯に参加する勇気まで失ってしまうでしょう。	その時のことがなければ、今の私がキやノン杯に参加する勇気まで失ってしまうでしょう。	"4,4,3"	3.6666666666666665
皆さんの好きな漢字は何ですか？	皆さんの好きな漢字は何ですか？	"4,4,4"	4.0
今はもう半年になりました。	もう半年になりました。	"4,4,4"	4.0
Popper'sPenguins"を見ました。	Popper'sPenguins"を見ました。	"4,3,3"	3.3333333333333335
国際問題になることが彼自身でも予想できると思いますから、漁船は何気なく、わざわざと日本の船にぶつかる必要が本当にいりますか？	国際問題になることが彼自身でも予想できると思いますから、漁船は何気なく、わざわざと日本の船にぶつかる必要が本当に必要ですか？	"3,4,2"	3.0
その日の来るを皆さんと一緒に待ちましょう。	その日の来るを皆さんと一緒に待ちましょう。	"4,3,2"	3.0
私の日本語の勉強は2月から始めまして。	私の日本語の勉強は2月から初めまして。	"4,2,2"	2.6666666666666665
子供の頃に、家族は四匹の猫を飼っていました。	子供の頃に、家族は四匹の猫を飼っていました。	"4,4,4"	4.0
このようなことは屋上でトバコをすって（もく）、制服を変えて、時々ちゅうと退学する。	このようなことは屋上でタバコをすって（もく）、制服を変えて、時々ちゅうと退学する。	"4,4,0"	4.0
それ以上、我慢できないおばさんは、とうとう、離婚の道を選んだ。	それ以上、我慢できないおばさんは、とうとう、離婚の道を選んだ。	"4,4,4"	4.0
さっき、大掃除していた。	さっき、大掃除していた。	"4,4,4"	4.0
私たちはだれでももちろん人世に夢がありますね。	私たちはだれでももちろん人生に夢がありますね。	"4,4,4"	4.0
マリア：すみません。	マリア：申し訳ございません。	"4,4,4"	4.0
昨日「たちばな」という和食のレストランに始めて行った。	昨日「たちばな」という和食のレストランに初めて行った。	"4,4,4"	4.0
昨日「たちばな」という和食のレストランに始めて行った。	昨日「たちばな」という和食のレストランに行った。	"4,2,3"	3.0
でも、興味もどんどんきました。	でも、興味もどんどんきました。	"2,4,3"	3.0
今からただ１４日があるんだと思う。	今からただ１４日があるんだと思う。	"4,4,3"	3.6666666666666665
大学生の時は何か未来の期待が結構あったのに、	大学生の時は何か未来への期待が結構あったのに、	"3,3,3"	3.0
みなさんは写真を見て！	みなさん、写真を見て！	"4,4,4"	4.0
⑤中国は日本への観光を自粛するよう勧告。	⑤中国は日本への観光を自粛するよう勧告。	"4,4,4"	4.0
【并非】というものは難しいなぁ	【メゾン非】というものは難しいなぁ	"1,1,1"	1.0
レイの零号機を乗ってどうすんの？」しか出でこなくて、質問の内容に一切考えなかった。	レイの零号機を乗ってどうすんの？」しか出でこなくて、質問の内容に一切考えなかった。	"2,3,3"	2.6666666666666665
流石、アナキンらしい弟！	流石、きれいな弟！	"1,1,1"	1.0
学校はもう。。。	学校はもう。。。	"4,4,3"	3.6666666666666665
ヤンキーは学校になまけているが、かいきゅうそしきにしたがう。	ヤンキーは学校になまけているが、かいきゅうそしきにしたがう。	"2,4,3"	3.0
24日から26日まではavconと言うアニメとテレビゲームの大会です。	24日から26日まではavconと言うアニメとテレビゲームの大会です。	"4,4,4"	4.0
優しいガイ＝（niceguy).	優しいガイ＝（niceguy).	"4,4,4"	4.0
パープルとイエロマニキュアを買いたい…最近、そのカラーコンボが大好きです。	パープルとイエロマニキュアを買いたい…最近、そのカラーコンボが大好きです。	"2,4,4"	3.3333333333333335
がんばろうぜ！	がんばるぜ！	"2,3,2"	2.3333333333333335
でも、そのイベントの前に、チッソ株式会社は継続的に汚染していた。	でも、そのイベントの前に、チッソ株式会社は継続的に汚染した。	"2,4,1"	2.3333333333333335
あまり鋭くありませんがこんなに小さい「子ナイフ」にして十分です。	あまり強くありませんが、こんなに小さい「子ナイフ」にしては十分です。	"4,1,1"	2.0
couhainosyoukai	ナスカ鸡腿	"0,0,0"	0
日本語四級検定合格！	日本語四級検定合格！	"4,4,4"	4.0
だから私は別の本はMangaMoodsと呼ばれる借りた。	だから私は別の本をMangaMoodsと呼ばれる借りた。	"1,2,1"	1.3333333333333333
眠れない夜。	眠れない夜だ。	"4,4,3"	3.6666666666666665
もっと話したいな、嬉しい事か、悲しいことか。	もっと話したいな、嬉しい事や、悲しいことか。	"4,4,4"	4.0
私は中国語が下手ですが、クラスをします。	私は中国語が下手ですが、授業をします。	"4,4,3"	3.6666666666666665
今まで、スロバキアにいて、インターネットはちょっと困ったので、七月の半期はLang-8にエントリーを書くことができませんでした。	今まで、スロバキアにいて、インターネットはちょっと困ったので、七月の半期はLang-8にエントリーを書くことができませんでした。	"4,4,4"	4.0
それより、彼女の寂しさは、だれも、気づき無かった。	それより、彼女の寂しさは、だれも、気づきなかった。	"3,2,3"	2.6666666666666665
肉のが好きですから。	肉のが好きですから。	"4,4,2"	3.3333333333333335
なんとなくだけど。	なんとなく。	"4,3,2"	3.0
lang-8において、バグ・リポートを提出させていただきたいと思います。	lang-8において、バグ・リポートを提出させていただきたいと思います。	"4,4,4"	4.0
いつか叶える分からない。	いつか叶い分からない。	"1,2,2"	1.6666666666666667
皆さんはThomasAlfaEdison（トーマスアルファエジソン）をしっていますか。	皆さんは、マッマントル（ドラゴン）をしっていますか。	"1,1,1"	1.0
ちょっと話題を外してしまったが、とりあえず、「やがて哀しき外国語」という中訳バージョンはかつて何回も見ましたが、筋が捉えなかったということです。	ちょっと話題を外してしまいましたが、とりあえず、「やがて哀しき外国語」という中訳バージョンはかつて何回も見ましたが、筋が捉えなかったということです。	"4,4,3"	3.6666666666666665
昨日、村上春樹さんの「やがて哀しき外国語」という本を拝読してみました。	昨日、村上春樹さんの「やがて演義外国語」という本を検索してみました。	"1,1,1"	1.0
何度転んでも歩くことを　　　　　　　学びつづけていました。	何度転んでも歩くことを　　　　　　　学びつづけていました。	"2,4,2"	2.6666666666666665
第一番目の練習	第一番目の練習	"3,4,4"	3.6666666666666665
http://www.youtube.com/watch?v=ysL1DL8au0s	http://www.youtube.comrwatch?v=ysL1DL8au0s	"0,0,0"	0
躓いて体が震えてばかりいた。	躓いて体が震えてばかりいた。	"4,4,4"	4.0
手を伸ばしても届かない一番の幸せです。	手を伸ばしても届かないことが一番の幸せです。	"3,4,4"	3.6666666666666665
一月半に居たけど、働きに行った。	一月半に居たけど、働きに行った。	"2,3,4"	3.0
そして、僕の生まれ育ったところは田舎ですから、東京に比べて生活費はやばそうです。	そして、僕の生まれ育ったところは田舎ですから、東京に比べて生活費はやばそうです。	"4,4,4"	4.0
Edison（エジソン）は、ひゃっかいでも、せんかいでも失敗しました。	Edison（エジソン）は、ひゃっかいでも、せんかいでも失敗しました。	"4,4,3"	3.6666666666666665
夜、日本語を勉強したかったのに、先にオンラインでドラムマシーンを探し始めてしまいました。	夜、日本語を勉強したかったのに、さっきオンラインでドラムマシーンを探し始めてしまいました。	"1,2,2"	1.6666666666666667
自己紹介	自己紹介	"3,4,4"	3.6666666666666665
君にとってはあれは幸せではありません。	君にとってはあれは幸せではありません。	"4,4,4"	4.0
よかったです。	うれしかったです。	"1,4,1"	2.0
どうしてプリンは不明なものを食べるの？	どうしてプリンは不明なものを食べないの？	"1,2,1"	1.3333333333333333
ストーリーはまだわからないですけど、ドラマをリスタットされました。	ストーリーはまだわからないですけど、ドラマをリスタートされました。	"4,3,1"	2.6666666666666665
まず、この格差があるか理由を知るためには、CEOと労働者の給料の平均に基づいて、データを分析する。	まず、この格差があるか理由を知るためには、CEOと労働者の給料の平均平均に基づいて、データを分析する。	"1,2,1"	1.3333333333333333
MangaMoodsは80のフレーズを持っています。	MangaMoodsには80のフレーズがあります。	"4,4,4"	4.0
だから、水俣市で、水俣病の問題があると思う。	だから、水俣市で、水俣病の問題があると思う。	"4,4,3"	3.6666666666666665
さらに、漁船と日本の海上保安庁の船の写真を見て、海上保安庁の船は漁船よりずっと大きいだと思います。	さらに、漁船と日本の海上保安庁の船の写真を見て、海上保安庁の船は漁船よりずっと大きいと思います。	"4,4,4"	4.0
あなたはSRSを使いますか？	あなたはSRSを使いますか？	"4,4,4"	4.0
で、日本語を中国語に翻訳する一番難しいところはなんだろうと聞かれたら、私は断然「センテンスの組み立て方がまったく違って、改めて組まないといけない部分は困る」と返事います。	で、日本語を中国語に翻訳する一番難しいところはなんだろうと聞かれたら、私は断然「センテンスの組み立て方がまったく違って、改めて組まないといけない部分は困る」と返事します。	"4,4,3"	3.6666666666666665
「私が送信したのはカキコミではない、寂しさなんだ。」「寂しさなんだ」というのは、去年中国のインターネット上でもっとも流行している言葉でした。	「私が送信したのはザックニョンではない、寂しさなんだ。」「寂しさなんだ」というのは、去年中国のインターネット上でもっとも流行している言葉でした。	"1,1,1"	1.0
だれでも失敗が好きではありませんね。	だれでも失敗が好きではありませんね。	"4,4,3"	3.6666666666666665
ところが、ヤンキーの生活様式がみりょくてきじゃない。	ところが、ヤンキーの生活様式がもがきてきじゃない。	"1,1,1"	1.0
しかし、私は一番夢がタイへ行くて、タイ語で当地の人と交流します。	しかし、私は一番夢がタイへ行くので、タイ語で現地の人と交流します。	"2,2,2"	2.0
私のうちは四人家族です、僕と母と兄と婆ちゃんです、ちょっと狭いアパートに住んでいる。	私のうちは四人家族です、僕と母と兄と婆ちゃんです、ちょっと狭いアパートに住んでいる。	"4,4,3"	3.6666666666666665
私は新しい本の匂いが好き。	私は新しい本の匂いが好き。	"4,4,4"	4.0
それから，よくともだちと　先生に　でんわを　します。	それから，よくともだちと先生にでんわをします。	"4,4,3"	3.6666666666666665
洗濯はつまらないです。	洗濯はつまらないです。	"4,4,4"	4.0
そしてその予定を話しました。	そしてそのことを話しました。	"1,1,2"	1.3333333333333333
私はバドミントン大好きですから、今日は友達と大學の体育館に行きました。	私はバドミントン大好きですから、今日は友達と大學の体育館に行きました。	"4,3,4"	3.6666666666666665
楽しいです。	楽しかったです。	"2,4,4"	3.3333333333333335
長い間、行き届いった掃除をしなかったので、いま、私は腰がだるいほどまっすぐ伸ばせないです。	長い間、行き届いた掃除をしなかったので、いま、私は腰がだるいほどまっすぐ伸ばせないです。	"4,3,3"	3.3333333333333335
２級ですればよかったのにって思うけど・・・	２級ですればよかったのにって思うけど・・・	"4,3,4"	3.6666666666666665
http://www.youtube.com/watch#!v=qz7TJZWVFdY&playnext_from=TL&videos=b8nAseMriJE	http://www.youtube.comrwatch#!v=qz7TJZWVFdY&playnext_from=TL&videos=b8nAseMriJE	"0,0,0"	0
水俣病は神経学的症候群だので、病気の症状は運動失調や失明や難聴だ。	水俣病は神経学的症候群なので、病気の症状は運動失調や失明やあほうだ。	"1,1,1"	1.0
現在、両国の若者文化にはいろいろな共通点もありましたが、自分の特色も持っています。	現在、両国の若者文化にはいろいろな共通点もありますが、自分の特色も持っています。	"4,4,4"	4.0
乏な私さんその小さい夢を実現できます。	パンパンな私さんはその小さい夢を実現できます。	"1,1,0"	1.0
日本のみへのレアアース輸出を禁止（ＷＴＯ違反）や、日本関係の通関手続きを妨害とかもしていた原因にもあると思います。	日本のみへのレアアース輸出を禁止（ＷＴＯ違反）や、日本関係の通関手続きを阻害とかもしていたことが原因にもあると思います。	"3,4,2"	3.0
アイルランドの音楽が好きけどこの楽器の音が大好きので習いたいだ。	アイルランドの音楽は好きだけど、この楽器の音が大好きなので習いたい。	"4,4,3"	3.6666666666666665
http://www.youtube.com/watch?v=ysL1DL8au0s	http:～\/www.youtube.com-watch?v=ysL1DL8au0s	"0,0,0"	0
宮崎駿監督ってすごく有名な監督だよね。	宮崎駿監督ってすごく有名な監督だよ。	"3,4,3"	3.3333333333333335
私の得点に大学レベルの英語と書くがありました。	私の得点に大学レベルの英語と書くことがありました。	"4,4,4"	4.0
主要な問題は、誰が僕の文の間違いを直してくれますか？	主要な問題は、誰が僕の文の間違いを直してくれるか？	"4,4,4"	4.0
アルバイトだけしたくない。	アルバイトだけはしたくない。	"4,4,4"	4.0
何と不思議なことに、虎たちは兵士たちと民衆たちに加害もせず、一目散に虎のキングに伴って開封府の大堂についていた。	何と不思議なことに、虎たちは兵士たちと民衆たちを加害もせず、一目散府に虎のキングに伴って開封府の大堂についていた。	"2,3,1"	2.0
世界の中でどこに住んでいても、	世界の中のどこに住んでいても、	"3,3,3"	3.0
他の言語の見付けれるけど日本語のとっくに難しい！	他の言語の見付けれるけど日本語のとっくに難しい！	"1,2,2"	1.6666666666666667
僕は僕の仕事をしった、ぜんぜんまちがえなかったんだよ。	僕は僕の仕事をしった、ぜんぜんまちがえなかったんだよ。	"4,4,1"	3.0
遊びなから、バイトします。	遊びなから、バイトします。	"2,3,4"	3.0
もし、年齢に関係なくみんなが使えるカバンが作れたら、金持ちになるかもしれない。	もし、年齢に関係なくみんなが使えるカバンが作れたら、金持ちになるかもしれない。	"4,4,3"	3.6666666666666665
好きな歌手はカナダの女性ロッカーのエイブリルラビンだと言いました。	好きな歌手はカナダの女性ロッカーのエイブリルラビンだと言いました。	"4,4,4"	4.0
綺麗な女性と老人の男性を描くのが好きだった。	綺麗な女性と老人の男性の絵を描くのが好きだった。	"4,4,4"	4.0
君のテベル９のレストランの勘定はどこですか？	君のテーブル９のレストランの勘定はどこですか？	"4,1,4"	3.0
「おやすみなさい、赤いバルーン」	「おやすみなさい、赤いバレーン」	"1,4,4"	3.0
私は猫を好きじゃないでも、犬大好きです。	私は猫が好きじゃないけど、犬は大好きです。	"4,4,4"	4.0
二人ともあっさりと「ありえない」と答えた。	二人ともあっさりと「ありえない」と答えた。	"4,4,4"	4.0
大変つまらないです。	とてもつまらないです。	"4,4,4"	4.0
あいつは倒れたのよ、死んちゃうよ、怖いよ～」	あいつは倒れてるのよ、死んじゃうよ、怖いよ～」	"4,3,2"	3.0
レポートによれば、アメリカのCEOの９７％は大学卒業生だ。	レポートによれば、アメリカのCEOの９７％は大学を卒業生だ。	"2,3,2"	2.3333333333333335
でも二年生の時、つまらないことで、喧嘩したことがあります。	でも二年生の時、つまらないことで、喧嘩したことがあります。	"4,4,4"	4.0
歩かないことをしませんでした。	歩かないことはしませんでした。	"4,4,2"	3.3333333333333335
ソウルで生まれてグァンミョンで幼い頃を過ぎました。	ソウルで生まれて、グァンミョンで幼い頃が過ぎました。	"4,4,2"	3.3333333333333335
しかし、仕方がないでしょう。	しかし、仕方がないでしょう。	"4,4,4"	4.0
朋友的文章~大家帮忙修改一下好吗？お願いします～	友的文章~大家视厅修改一下好吗？お願いします～	"0,0,0"	0
日本に未発売の海外のコスメー、サンフランシスコに行く予定ありますから、教えて下さい。	日本では未発売の海外のコスメー、サンフランシスコに行く予定がありますから、教えて下さい。	"3,4,2"	3.0
馬の　名前わ　Ｂｉｓｓｅｎ、　Ｐｕｎｔｏ、　Ｍａｙ　と　Ｃａｐｐｉ　です。	馬の名前はＢｉｓｓｅｎ、Ｐｕｎｔｏ、ＭａｙとＣａｐｉです。	"4,4,4"	4.0
二人ともあっさりと「ありえない」と答えた。	二人ともあっさりすると「ありえない」と答えた。	"1,3,1"	1.6666666666666667
今両国ともはやっている「萌え文化」とか「ツッコミ文化」には私もすごく興味があります。	今両国ともはやっている「萌え文化」とか「ツッコミ文化」には私もすごく興味があります。	"4,4,3"	3.6666666666666665
仕事	仕事	"3,4,4"	3.6666666666666665
新しい文法を習いました。	新しい文法を習い始めました。	"1,4,3"	2.6666666666666665
やがて哀しき外国語に関して	やがて哀しい外国語に関して	"3,3,2"	2.6666666666666665
日本語２０３のクラスは楽しいですけど、クラスメイトはへんです。	日本語２０３のクラスは楽しいですけど、クラスメイトはへんです。	"4,4,4"	4.0
日本語には違うと思いますが、確かじゃないですので、例をもらったら助かりますよ。	日本語には違うと思いますが、確かじゃないですので、例をもらったら助かりますよ。	"3,4,3"	3.3333333333333335
最後の授業は科学の歴史でした。	最後の授業は科学の歴史でした。	"4,4,4"	4.0
私の夢	私の夢	"3,4,4"	3.6666666666666665
「毎日新聞」に漁船は「先兵」として、日本に探察しに来るかもしれないと書いてあります。	「毎日新聞」に漁船は「先兵」として、日本に探察しに来るかもしれないと書いてありました。	"4,4,4"	4.0
私たちはだれでももちろん人世に夢がありますね。	私たちはだれでももちろん濡れ鼠に夢がありますね。	"1,1,1"	1.0
私の得点に大学レベルの英語と書くがありました。	私の得点に大学レベルの英語と書きました。	"4,4,3"	3.6666666666666665
僕：はい、ほんとですようううううううう。	僕：はい、ほんとですよう。	"4,4,2"	3.3333333333333335
デザートはチョコレートのフォンデューだった。	デザートはチョコレートフォンデューだった。	"4,4,4"	4.0
先生の説明はよかったです。	先生の説明はよかったです。	"4,4,4"	4.0
それから、日本語を勉強して、本当によかったと思います。	だから、日本語を勉強して、本当によかったと思います。	"4,4,4"	4.0
なにしったんですか?”と言いました。	なにをしったんですか?”と言いました。	"4,3,3"	3.3333333333333335
一回とか十回とか百回とか失敗するからと言って、歩くことを学ばないわけが　　　　　　　ありませんでした。	一回とか十回とか百回とか失敗するからと言って、歩くことを学ばないわけがありませんでした。	"4,4,3"	3.6666666666666665
若者はハンドバッグを持っている。	若者はハンドバッグを持っている。	"4,4,4"	4.0
漢字がたくさんですね。	漢字がたくさんありますね。	"4,4,4"	4.0
楽器をたくさん練習しているだから、この間大学で勉強しなかった。	楽器をたくさん練習しているから、この間大学で勉強しなかった。	"4,4,2"	3.3333333333333335
スタローンの映画のが面白いですから。	スタローンの映画のが面白いですから。	"4,4,3"	3.6666666666666665
虎の王は彼を躓いたままで牢獄まで這わせていた。	虎の王は彼を躓いたままで牢獄まで却下せていた。	"1,1,1"	1.0
中国の土地が広いだから、たくさんの人が実家から遠い場所で働いて、家族と離れています。	中国は土地が広いから、たくさんの人が実家から遠い場所で働いて、家族と離れています。	"4,4,3"	3.6666666666666665
もう一つの質問があります。	もう一つの質問があります。	"4,4,4"	4.0
ラベンダーが倒れちゃった！	ラベンダーが倒れちゃった！	"4,4,4"	4.0
こんにちは。	こんにちは。	"4,4,4"	4.0
朋友的文章~大家帮忙修改一下好吗？お願いします～	朋友的文章~大家の忙修改一下好吗？お願いします～	"0,0,0"	0
